Document,Phrase
trip_105.txt,quite inviting
trip_10.txt,rare commodity
trip_101.txt,real issue
trip_10.txt,real star
trip_103.txt,real thing
trip_101.txt,real use
trip_102.txt,really annoying
trip_104.txt,really good
trip_104.txt,really tacky
trip_100.txt,recent study
trip_104.txt,regular hotel room price
trip_102.txt,regular tub
trip_107.txt,relatively pricey
trip_103.txt,relaxing place
trip_107.txt,remarkably quiet
trip_106.txt,remotely close
trip_1.txt,rental place
trip_101.txt,Residence Inns
trip_103.txt,right amount
trip_101.txt,right next
trip_105.txt,rocking chairs
trip_104.txt,room cleanliness
trip_1.txt,room serivce
trip_1.txt,room service
trip_106.txt,rustic charm
trip_107.txt,safe versions
trip_101.txt,salad bar
trip_101.txt,sausage patties
trip_101.txt,sausage rounds
trip_105.txt,scalloped potatoes
trip_106.txt,scenic drive
trip_107.txt,screened-in side porch
trip_107.txt,secret delight
trip_10.txt,self-park option
trip_104.txt,separate bedroom
trip_10.txt,service issues
trip_103.txt,seven letter word
trip_105.txt,several rooms
trip_1.txt,short ribs
trip_105.txt,short walk
trip_105.txt,shoulder season
trip_100.txt,sick child
trip_107.txt,Silhouette room
trip_103.txt,simply magnificent
trip_101.txt,sink traffic
trip_102.txt,sister site
trip_104.txt,sitting area
trip_101.txt,sized frig
trip_101.txt,small desk
trip_1.txt,small dessert
trip_107.txt,small facility
trip_10.txt,small side
trip_101.txt,smart food
trip_1.txt,smoky smell
trip_101.txt,sofa bed
trip_101.txt,Soy milk
trip_1.txt,special birthday
trip_107.txt,special diet
trip_101.txt,standard Residence
trip_101.txt,Standard vehicles
trip_101.txt,street sounds
trip_1.txt,subjective opinion
trip_10.txt,subjective opinion
trip_100.txt,subjective opinion
trip_101.txt,subjective opinion
trip_104.txt,subjective opinion
trip_106.txt,subjective opinion
trip_107.txt,subjective opinion
trip_101.txt,subway station
trip_105.txt,surounding area
trip_10.txt,surpassed expectations
trip_104.txt,surprisingly comfortable
trip_106.txt,surrounding area
trip_102.txt,sweet ending
trip_101.txt,sweet goods
trip_103.txt,talented artists
trip_107.txt,tasty waffles
trip_102.txt,terrific breakfast
trip_101.txt,third floor
trip_107.txt,third floor
trip_104.txt,Top Contributor
trip_107.txt,top notch
trip_107.txt,town location
trip_103.txt,travel reviews
trip_103.txt,truly historic
trip_107.txt,unpleasant experience
trip_106.txt,unpleasant things
trip_10.txt,upscale feel
trip_10.txt,used points
trip_1.txt,usual things
trip_105.txt,utmost quality
trip_105.txt,utterly incredible
trip_101.txt,valet parking
trip_10.txt,valet station
trip_107.txt,valuable guests
trip_100.txt,vast variety
trip_107.txt,vegetarian diet
trip_105.txt,Victorian style homes
trip_10.txt,walking distance
trip_101.txt,walking distance
trip_105.txt,walking distance
trip_106.txt,walking distance
trip_106.txt,warm welcome
trip_107.txt,water pressure
trip_103.txt,wedding reception
trip_100.txt,weekend getaway
trip_105.txt,weekend retreat
